iter	RMSE
0	16.4707365
1	16.10617546
2	15.70864635
3	15.3129374
4	14.94152979
5	14.57685058
6	14.25749163
7	13.92213593
8	13.63045216
9	13.30346555
10	13.01887635
11	12.72158667
12	12.48936288
13	12.21860044
14	11.96707175
15	11.70999109
16	11.47022477
17	11.25536736
18	11.02509016
19	10.84403096
20	10.64482027
21	10.43076585
22	10.21404114
23	10.03147075
24	9.872749472
25	9.716276824
26	9.563133603
27	9.4185902
28	9.258168687
29	9.101706356
30	8.933830208
31	8.80255405
32	8.679689032
33	8.534600272
34	8.399107799
35	8.299914181
36	8.195021528
37	8.083980063
38	7.973051322
39	7.880783256
40	7.783689997
41	7.678482656
42	7.569863118
43	7.481701794
44	7.39684104
45	7.313610169
46	7.220640721
47	7.151203269
48	7.073156694
49	7.01006602
50	6.92609734
51	6.861581797
52	6.799177215
53	6.719775357
54	6.646268999
55	6.583154262
56	6.523699292
57	6.465286621
58	6.407136314
59	6.363225505
60	6.298365165
61	6.246424544
62	6.195379315
63	6.143250434
64	6.103283457
65	6.054121416
66	6.010292536
67	5.967601804
68	5.932479255
69	5.889799084
70	5.844073073
71	5.802383444
72	5.763597435
73	5.726259947
74	5.700278547
75	5.665235005
76	5.632425825
77	5.590826094
78	5.553085264
79	5.510891619
80	5.476417925
81	5.448592466
82	5.409859747
83	5.373406032
84	5.349140479
85	5.319502677
86	5.293528435
87	5.2593126
88	5.232820433
89	5.213879782
90	5.190420687
91	5.170916995
92	5.147619899
93	5.124403974
94	5.109588829
95	5.080562036
96	5.056228651
97	5.034052454
98	5.013534971
99	4.993770767
100	4.990033255
101	4.970431905
102	4.956904428
103	4.939528504
104	4.918927141
105	4.895746063
106	4.875540932
107	4.860372471
108	4.841628175
109	4.822953431
110	4.800667229
111	4.786770449
112	4.769627108
113	4.750564106
114	4.736641038
115	4.714664044
116	4.702907601
117	4.686936265
118	4.675063283
119	4.655920062
120	4.640359253
121	4.621927868
122	4.606837687
123	4.595160242
124	4.583150346
125	4.565669576
126	4.554367169
127	4.541623523
128	4.526815711
129	4.512960344
130	4.498032943
131	4.490562448
132	4.477742815
133	4.464417621
134	4.457099568
135	4.445300305
136	4.432643104
137	4.422161517
138	4.407937362
139	4.397114067
140	4.385976892
141	4.379311891
142	4.369143023
143	4.357854826
144	4.342807532
145	4.330012127
146	4.317527255
147	4.3054922
148	4.293069871
149	4.279484952
150	4.266249707
151	4.258768679
152	4.249747504
153	4.240363517
154	4.231024347
155	4.218307443
156	4.20974717
157	4.202517428
158	4.192060214
159	4.18536718
160	4.177463252
161	4.169238559
162	4.160575228
163	4.149847742
164	4.140797287
165	4.132380171
166	4.123299389
167	4.116766751
168	4.106383266
169	4.097148347
170	4.084405912
171	4.079023601
172	4.071002612
173	4.067190529
174	4.059389609
175	4.051023681
176	4.044787442
177	4.035970417
178	4.030966778
179	4.023818006
180	4.011314834
181	4.005723098
182	3.999776119
183	3.992209194
184	3.979751191
185	3.970066475
186	3.962678085
187	3.957126814
188	3.949708678
189	3.942643235
190	3.935556215
191	3.929226879
192	3.923829798
193	3.913764089
194	3.906763469
195	3.900302642
196	3.890981826
197	3.885353578
198	3.876463275
199	3.867745271
200	3.858503414
201	3.85332214
202	3.846089392
203	3.836684808
204	3.830357762
205	3.824392596
206	3.815901914
207	3.810711613
208	3.801592766
209	3.796641188
210	3.78672843
211	3.778613159
212	3.771920811
213	3.767912029
214	3.760950746
215	3.755246891
216	3.752031125
217	3.739450858
218	3.733581231
219	3.729488657
220	3.727005478
221	3.720948653
222	3.713853161
223	3.711228281
224	3.701758537
225	3.693975537
226	3.689278928
227	3.686393159
228	3.682251979
229	3.680090842
230	3.673130368
231	3.669344289
232	3.666646862
233	3.659590867
234	3.649877234
235	3.646172372
236	3.640916292
237	3.638552598
238	3.626319529
239	3.618758058
240	3.611242276
241	3.608335347
242	3.603931312
243	3.595336959
244	3.588668918
245	3.581648216
246	3.575968874
247	3.572905317
248	3.567119464
249	3.562647571
250	3.554359022
251	3.553326197
252	3.546435513
253	3.542798638
254	3.536869624
255	3.530877905
256	3.522212618
257	3.515084322
258	3.510389234
259	3.50208143
260	3.492778078
261	3.488323225
262	3.479276058
263	3.47120132
264	3.466082183
265	3.459402129
266	3.458440711
267	3.451210245
268	3.449796671
269	3.442030905
270	3.434384373
271	3.427967115
272	3.424405446
273	3.417298217
274	3.408787543
275	3.40125541
276	3.395551148
277	3.394301741
278	3.391134999
279	3.384950112
280	3.375322961
281	3.366009353
282	3.36158297
283	3.356478614
284	3.349393014
285	3.347216499
286	3.340679193
287	3.336998542
288	3.329854788
289	3.320672798
290	3.316812305
291	3.311836672
292	3.311036258
293	3.307033308
294	3.301969236
295	3.296040996
296	3.295296812
297	3.290633006
298	3.286448857
299	3.28447337
300	3.277310127
301	3.276512429
302	3.275716568
303	3.26971674
304	3.260937513
305	3.254700336
306	3.249643465
307	3.248885742
308	3.248240973
309	3.240250102
310	3.235545486
311	3.23005704
312	3.22943688
313	3.22458586
314	3.215186075
315	3.214589023
316	3.208441029
317	3.203674173
318	3.198053619
319	3.188871609
320	3.184991564
321	3.181361068
322	3.180793633
323	3.175098594
324	3.168649216
325	3.168054375
326	3.163639788
327	3.158030691
328	3.153224742
329	3.148426809
330	3.141612505
331	3.135524218
332	3.127559945
333	3.122465829
334	3.117403771
335	3.111119697
336	3.106185658
337	3.102010607
338	3.09819193
339	3.092490995
340	3.087515406
341	3.082262362
342	3.081290268
343	3.077509209
344	3.073754554
345	3.072984608
346	3.067736801
347	3.061908938
348	3.056878423
349	3.051620227
350	3.04843072
351	3.043084012
352	3.039578056
353	3.039122528
354	3.034216149
355	3.027124297
356	3.019489667
357	3.015345
358	3.008891601
359	3.008405348
360	3.004812651
361	3.004342904
362	2.999172619
363	2.990707819
364	2.984694207
365	2.978884612
366	2.978467724
367	2.972699612
368	2.967063124
369	2.963491064
370	2.958083065
371	2.957628247
372	2.957069449
373	2.952631733
374	2.948437785
375	2.943461643
376	2.93901034
377	2.935435776
378	2.930050028
379	2.926500352
380	2.922721354
381	2.917288349
382	2.912805606
383	2.908065942
384	2.904025586
385	2.898643992
386	2.896067639
387	2.892474639
388	2.891694759
389	2.887433482
390	2.882863906
391	2.879748595
392	2.875885638
393	2.874252057
394	2.869781369
395	2.865055899
396	2.860498372
397	2.857032996
398	2.853457489
399	2.849403524
400	2.848999266
401	2.844412708
402	2.839702416
403	2.836628097
404	2.833030299
405	2.832281165
406	2.828824664
407	2.824932735
408	2.822047763
409	2.817427061
410	2.813582766
411	2.813238095
412	2.811399598
413	2.80868378
414	2.806964193
415	2.802834128
416	2.800222932
417	2.799905384
418	2.799209452
419	2.796576528
420	2.795624918
421	2.795314264
422	2.791443195
423	2.790901708
424	2.787403823
425	2.783849094
426	2.778027741
427	2.775649149
428	2.772252378
429	2.769740597
430	2.766838386
431	2.762700555
432	2.762408755
433	2.760075386
434	2.759773838
435	2.755754668
436	2.752899559
437	2.748755616
438	2.746139011
439	2.743422459
440	2.740563042
441	2.737829483
442	2.736403315
443	2.733899127
444	2.730878506
445	2.727709956
446	2.727433497
447	2.724517199
448	2.720789445
449	2.71787671
450	2.714141137
451	2.709484522
452	2.70621332
453	2.703600654
454	2.700092749
455	2.698471375
456	2.696590559
457	2.693901797
458	2.690044558
459	2.68515592
460	2.682841765
461	2.680653771
462	2.678388999
463	2.676129062
464	2.673360004
465	2.671236842
466	2.669890553
467	2.665279949
468	2.662553099
469	2.660591377
470	2.658313435
471	2.65566302
472	2.653549878
473	2.650221156
474	2.647134929
475	2.645052179
476	2.643392781
477	2.641637595
478	2.640946176
479	2.638519404
480	2.636239082
481	2.635961826
482	2.632634313
483	2.632407155
484	2.629865048
485	2.625376755
486	2.622317313
487	2.620721866
488	2.617154021
489	2.616617151
490	2.612925832
491	2.610079844
492	2.609819969
493	2.606410713
494	2.601844829
495	2.60046166
496	2.597891057
497	2.596630357
498	2.594016908
499	2.59048694
500	2.589361625
501	2.5854684
502	2.582780193
503	2.580510169
504	2.577780713
505	2.576274815
506	2.573826831
507	2.571383907
508	2.569322193
509	2.566167943
510	2.563979931
511	2.563599077
512	2.56093959
513	2.558923479
514	2.55722677
515	2.55393709
516	2.553325392
517	2.550667176
518	2.547559192
519	2.545784443
520	2.543254326
521	2.541187062
522	2.538448349
523	2.53572053
524	2.534038658
525	2.532334946
526	2.53201344
527	2.529415138
528	2.526549485
529	2.523257663
530	2.520931722
531	2.517948156
532	2.515797315
533	2.512410811
534	2.511570253
535	2.510031544
536	2.505478717
537	2.503572435
538	2.500490618
539	2.497358259
540	2.493354399
541	2.491153138
542	2.487715179
543	2.484589881
544	2.48304958
545	2.480979678
546	2.479407826
547	2.47728905
548	2.474568786
549	2.473882288
550	2.47270354
551	2.470658682
552	2.468071513
553	2.465952472
554	2.46438999
555	2.463536466
556	2.462170187
557	2.460293114
558	2.458831878
559	2.45657869
560	2.453876543
561	2.451615735
562	2.451440532
563	2.447737488
564	2.447422285
565	2.447109083
566	2.44485873
567	2.442365418
568	2.441474962
569	2.439930257
570	2.437920178
571	2.434649452
572	2.43334
573	2.431970009
574	2.429919777
575	2.428919158
576	2.428727025
577	2.427338635
578	2.425918078
579	2.423189726
580	2.420657697
581	2.419636824
582	2.417966211
583	2.416580915
584	2.415374495
585	2.413923034
586	2.412391453
587	2.409874376
588	2.409113408
589	2.407821296
590	2.405714011
591	2.403206828
592	2.401323084
593	2.398360034
594	2.396092111
595	2.393688202
596	2.390443356
597	2.387341923
598	2.38575292
599	2.383307963
600	2.38046266
601	2.378876716
602	2.376464494
603	2.375390906
604	2.374425617
605	2.372725865
606	2.369469505
607	2.368034445
608	2.365808435
609	2.363221012
610	2.360683895
611	2.35950899
612	2.358930752
613	2.357860529
614	2.355826088
615	2.354755897
616	2.353066096
617	2.351104597
618	2.348030207
619	2.34530634
620	2.342383213
621	2.340205569
622	2.338827185
623	2.335885684
624	2.334673322
625	2.332532478
626	2.329884868
627	2.327226182
628	2.324931888
629	2.322475797
630	2.319412274
631	2.317118525
632	2.316797565
633	2.315860944
634	2.314865844
635	2.3146944
636	2.312783008
637	2.3116693
638	2.310559026
639	2.310045158
640	2.308256997
641	2.305878442
642	2.302903285
643	2.301377219
644	2.300837706
