iter	Passed	Remaining
0	2	2273
1	3	1962
2	5	1831
3	7	1744
4	8	1650
5	10	1668
6	12	1718
7	14	1762
8	15	1744
9	17	1738
10	19	1730
11	20	1715
12	22	1697
13	23	1675
14	25	1660
15	27	1689
16	29	1683
17	30	1689
18	32	1701
19	34	1692
20	35	1673
21	37	1658
22	38	1649
23	40	1637
24	42	1666
25	44	1665
26	46	1663
27	47	1663
28	49	1653
29	50	1648
30	52	1636
31	53	1632
32	55	1622
33	57	1632
34	59	1637
35	61	1634
36	62	1632
37	64	1629
38	65	1622
39	67	1615
40	68	1608
41	70	1604
42	72	1608
43	74	1617
44	76	1618
45	78	1623
46	79	1618
47	81	1621
48	83	1613
49	85	1617
50	86	1610
51	88	1620
52	90	1624
53	92	1622
54	94	1617
55	95	1610
56	96	1604
57	98	1597
58	99	1591
59	101	1584
60	102	1585
61	104	1581
62	106	1581
63	107	1575
64	109	1573
65	110	1567
66	112	1560
67	113	1555
68	114	1549
69	116	1543
70	117	1537
71	119	1534
72	120	1529
73	122	1528
74	123	1522
75	124	1517
76	126	1512
77	127	1507
78	128	1502
79	130	1497
80	131	1492
81	132	1487
82	134	1485
83	136	1484
84	137	1481
85	139	1478
86	140	1475
87	141	1471
88	143	1468
89	144	1463
90	146	1459
91	147	1454
92	148	1452
93	150	1454
94	152	1450
95	153	1446
96	154	1442
97	156	1439
98	157	1435
99	159	1431
100	159	1420
101	160	1416
102	162	1413
103	163	1409
104	165	1411
105	166	1408
106	168	1405
107	169	1402
108	171	1400
109	172	1396
110	174	1395
111	175	1392
112	177	1390
113	178	1389
114	180	1391
115	182	1389
116	183	1387
117	185	1386
118	186	1384
119	188	1381
120	189	1378
121	191	1375
122	192	1372
123	193	1370
124	196	1372
125	197	1371
126	199	1371
127	201	1372
128	202	1369
129	204	1366
130	205	1364
131	207	1361
132	208	1359
133	210	1358
134	212	1362
135	214	1360
136	215	1358
137	217	1356
138	218	1354
139	220	1352
140	221	1349
141	222	1345
142	224	1343
143	225	1340
144	227	1339
145	228	1338
146	230	1338
147	232	1337
148	233	1334
149	235	1332
150	236	1330
151	238	1328
152	239	1325
153	241	1324
154	242	1324
155	244	1323
156	246	1321
157	247	1319
158	249	1317
159	250	1315
160	252	1313
161	253	1311
162	255	1310
163	257	1311
164	258	1310
165	260	1309
166	262	1307
167	263	1306
168	265	1304
169	266	1302
170	268	1300
171	269	1298
172	271	1298
173	273	1298
174	275	1296
175	276	1295
176	278	1293
177	279	1291
178	281	1289
179	282	1287
180	284	1285
181	285	1283
182	287	1284
183	289	1284
184	291	1282
185	292	1280
186	294	1279
187	295	1276
188	297	1274
189	298	1272
190	299	1269
191	301	1267
192	303	1267
193	304	1266
194	306	1264
195	307	1262
196	309	1260
197	310	1258
198	312	1256
199	313	1254
200	314	1252
201	316	1250
202	318	1251
203	320	1249
204	321	1247
205	323	1246
206	324	1244
207	326	1242
208	327	1240
209	329	1239
210	331	1237
211	333	1241
212	335	1239
213	336	1237
214	338	1236
215	340	1234
216	341	1232
217	343	1231
218	344	1229
219	346	1229
220	348	1228
221	350	1228
222	352	1227
223	353	1225
224	355	1223
225	356	1222
226	358	1220
227	360	1219
228	361	1217
229	364	1220
230	366	1220
231	368	1219
232	369	1217
233	371	1216
234	373	1214
235	374	1212
236	376	1210
237	377	1208
238	379	1209
239	381	1208
240	383	1206
241	384	1205
242	386	1203
243	387	1201
244	389	1200
245	391	1199
246	392	1197
247	394	1196
248	396	1194
249	397	1193
250	399	1191
251	400	1190
252	402	1188
253	403	1186
254	405	1184
255	407	1183
256	408	1181
257	410	1180
258	412	1178
259	413	1177
260	415	1175
261	416	1174
262	418	1172
263	419	1170
264	421	1168
265	422	1166
266	424	1166
267	426	1165
268	428	1163
269	429	1162
270	431	1160
271	433	1158
272	434	1156
273	435	1155
274	437	1153
275	439	1151
276	441	1151
277	442	1149
278	444	1148
279	445	1146
280	447	1145
281	449	1144
282	451	1143
283	453	1142
284	455	1143
285	457	1142
286	459	1141
287	460	1139
288	463	1139
289	464	1137
290	466	1136
291	467	1134
292	470	1134
293	472	1134
294	474	1133
295	476	1133
296	478	1132
297	480	1132
298	482	1131
299	484	1130
300	487	1132
301	489	1131
302	491	1129
303	493	1129
304	495	1128
305	497	1128
306	499	1127
307	502	1128
308	504	1127
309	505	1126
310	507	1125
311	509	1123
312	511	1122
313	513	1120
314	514	1119
315	516	1118
316	519	1119
317	522	1120
318	524	1118
319	526	1118
320	528	1117
321	529	1115
322	533	1118
323	535	1117
324	537	1116
325	539	1116
326	541	1115
327	544	1114
328	547	1117
329	550	1117
330	553	1119
331	555	1118
332	558	1117
333	560	1116
334	561	1115
335	564	1116
336	567	1116
337	569	1116
338	572	1116
339	575	1116
340	579	1120
341	583	1122
342	586	1123
343	588	1121
344	590	1120
345	592	1119
346	595	1120
347	597	1120
348	600	1119
349	602	1119
350	605	1119
351	607	1118
352	611	1120
353	622	1136
354	625	1136
355	628	1137
356	631	1136
357	633	1135
358	635	1134
359	637	1133
360	639	1132
361	643	1133
362	647	1136
363	650	1136
364	653	1136
365	655	1135
366	658	1136
367	661	1136
368	664	1136
369	666	1135
370	669	1134
371	673	1137
372	676	1136
373	679	1136
374	681	1136
375	684	1135
376	687	1136
377	690	1136
378	692	1134
379	694	1133
380	696	1132
381	699	1131
382	701	1130
383	704	1129
384	706	1128
385	708	1127
386	711	1126
387	713	1125
388	715	1123
389	719	1125
390	721	1124
391	724	1123
392	726	1121
393	728	1119
394	730	1118
395	731	1116
396	734	1115
397	736	1114
398	738	1112
399	741	1111
400	743	1110
401	745	1108
402	749	1110
403	753	1111
404	755	1110
405	757	1108
406	759	1106
407	761	1104
408	764	1105
409	767	1104
410	769	1102
411	771	1101
412	773	1099
413	775	1097
414	777	1095
415	780	1096
416	783	1095
417	785	1093
418	787	1091
419	788	1089
420	790	1087
421	792	1085
422	795	1085
423	798	1084
424	800	1082
425	802	1080
426	804	1079
427	806	1077
428	808	1076
429	811	1076
430	813	1074
431	816	1072
432	817	1071
433	820	1069
434	822	1067
435	823	1065
436	826	1064
437	828	1063
438	830	1061
439	832	1059
440	834	1058
441	837	1056
442	838	1054
443	842	1054
444	844	1052
445	846	1051
446	848	1049
447	849	1047
448	851	1044
449	853	1042
450	854	1040
451	857	1040
452	859	1037
453	861	1036
454	863	1034
455	865	1032
456	867	1030
457	869	1028
458	871	1027
459	874	1026
460	875	1024
461	877	1022
462	879	1020
463	881	1018
464	883	1016
465	884	1013
466	886	1012
467	888	1010
468	891	1009
469	893	1007
470	894	1005
471	896	1003
472	898	1001
473	900	998
474	902	997
475	904	995
476	906	993
477	907	991
478	909	989
479	911	987
480	913	985
481	914	983
482	917	981
483	919	979
484	920	977
485	922	975
486	925	974
487	928	974
488	931	973
489	933	971
490	935	970
491	937	968
492	939	966
493	941	964
494	943	962
495	945	960
496	947	959
497	949	957
498	952	955
499	953	953
500	956	952
501	957	950
502	959	948
503	961	946
504	964	945
505	966	943
506	968	941
507	970	939
508	972	938
509	974	936
510	976	934
511	978	932
512	980	931
513	982	929
514	984	927
515	986	925
516	988	923
517	990	921
518	992	919
519	995	918
520	997	917
521	999	915
522	1001	913
523	1003	911
524	1005	909
525	1006	907
526	1008	905
527	1010	903
528	1012	901
529	1014	899
530	1016	898
531	1018	896
532	1020	894
533	1022	892
534	1024	890
535	1026	888
536	1028	886
537	1030	884
538	1031	882
539	1033	880
540	1035	878
541	1037	876
542	1039	874
543	1041	873
544	1043	871
545	1045	869
546	1047	867
547	1049	865
548	1050	863
549	1052	861
550	1055	860
551	1057	858
552	1059	856
553	1062	854
554	1063	852
555	1065	850
556	1067	848
557	1068	846
558	1071	845
559	1073	843
560	1075	841
561	1077	839
562	1078	837
563	1080	835
564	1082	833
565	1085	832
566	1087	830
567	1089	828
568	1091	826
569	1093	824
570	1094	822
571	1096	820
572	1098	818
573	1100	817
574	1103	815
575	1105	813
576	1106	811
577	1108	809
578	1110	807
579	1112	805
580	1114	803
581	1117	802
582	1119	800
583	1121	798
584	1122	796
585	1124	794
586	1126	792
587	1128	790
588	1130	789
589	1133	787
590	1135	785
591	1137	783
592	1139	781
593	1140	779
594	1142	777
595	1144	775
596	1146	773
597	1148	772
598	1150	770
599	1152	768
600	1154	766
601	1156	764
602	1158	762
603	1159	760
604	1162	758
605	1164	757
606	1166	755
607	1167	752
608	1169	750
609	1171	748
610	1173	746
611	1174	744
612	1176	742
613	1178	740
614	1180	738
615	1182	737
616	1184	735
617	1186	733
618	1188	731
619	1190	729
620	1192	727
621	1194	725
622	1196	724
623	1198	722
624	1200	720
625	1202	718
626	1203	716
627	1205	714
628	1208	712
629	1210	710
630	1212	709
631	1214	707
632	1215	704
633	1217	702
634	1219	700
635	1221	698
636	1224	697
637	1225	695
638	1228	693
639	1229	691
640	1231	689
641	1233	687
642	1235	685
643	1236	683
644	1240	682
645	1242	680
646	1244	678
647	1245	676
648	1247	674
649	1249	672
650	1251	670
651	1253	669
652	1256	667
653	1258	665
654	1260	663
655	1262	662
656	1264	659
657	1265	657
658	1267	655
659	1269	654
660	1271	652
661	1273	650
662	1275	648
663	1276	646
664	1278	644
665	1280	642
666	1282	640
667	1284	638
668	1287	636
669	1289	634
670	1291	633
671	1292	631
672	1294	628
673	1296	626
674	1298	624
675	1300	623
676	1302	621
677	1304	619
678	1306	617
679	1308	615
680	1309	613
681	1311	611
682	1313	609
683	1316	608
684	1318	606
685	1320	604
686	1321	602
687	1324	600
688	1325	598
689	1327	596
690	1329	594
691	1331	592
692	1333	590
693	1335	588
694	1337	586
695	1339	584
696	1340	582
697	1342	581
698	1345	579
699	1347	577
700	1349	575
701	1350	573
702	1352	571
703	1354	569
704	1355	567
705	1357	565
706	1359	563
707	1362	561
708	1364	559
709	1366	558
710	1368	556
711	1369	554
712	1371	552
713	1373	550
714	1375	548
715	1377	546
716	1379	544
717	1381	542
718	1383	540
719	1385	538
720	1386	536
721	1388	534
722	1390	532
723	1392	530
724	1394	528
725	1396	527
726	1398	525
727	1400	523
728	1402	521
729	1403	519
730	1405	517
731	1407	515
732	1409	513
733	1411	511
734	1413	509
735	1415	507
736	1416	505
737	1418	503
738	1420	501
739	1423	500
740	1424	498
741	1426	496
742	1428	494
743	1430	492
744	1432	490
745	1433	488
746	1435	486
747	1437	484
748	1439	482
749	1441	480
750	1443	478
751	1445	476
752	1447	474
753	1448	472
754	1450	470
755	1452	468
756	1454	467
757	1456	465
758	1458	463
759	1460	461
760	1461	459
761	1463	457
762	1465	455
763	1467	453
764	1470	451
765	1472	449
766	1474	447
767	1476	445
768	1478	444
769	1480	442
770	1482	440
771	1485	438
772	1488	436
773	1490	435
774	1492	433
775	1494	431
776	1497	429
777	1500	428
778	1502	426
779	1504	424
780	1506	422
781	1508	420
782	1511	418
783	1514	417
784	1517	415
785	1519	413
786	1522	411
787	1524	410
788	1526	408
789	1528	406
790	1530	404
791	1533	402
792	1535	400
793	1537	398
794	1540	397
795	1542	395
796	1544	393
797	1547	391
798	1549	389
799	1552	388
800	1554	386
801	1556	384
802	1558	382
803	1561	380
804	1563	378
805	1566	376
806	1568	375
807	1571	373
808	1573	371
809	1577	369
810	1579	367
811	1581	366
812	1584	364
813	1586	362
814	1587	360
815	1590	358
816	1593	356
817	1596	355
818	1598	353
819	1601	351
820	1603	349
821	1606	347
822	1609	346
823	1612	344
824	1615	342
825	1617	340
826	1619	338
827	1622	337
828	1625	335
829	1627	333
830	1630	331
831	1632	329
832	1635	327
833	1637	325
834	1639	324
835	1641	322
836	1643	320
837	1646	318
838	1648	316
839	1650	314
840	1653	312
841	1655	310
842	1657	308
843	1659	306
844	1661	304
845	1663	302
846	1665	300
847	1667	298
848	1669	296
849	1671	294
850	1673	292
851	1675	291
852	1677	289
853	1679	287
854	1681	285
855	1684	283
856	1686	281
857	1688	279
858	1690	277
859	1692	275
860	1694	273
861	1695	271
862	1698	269
863	1700	267
864	1702	265
865	1703	263
866	1706	261
867	1708	259
868	1710	257
869	1712	255
870	1715	254
871	1717	252
872	1719	250
873	1721	248
874	1723	246
875	1725	244
876	1726	242
877	1729	240
878	1731	238
879	1733	236
880	1735	234
881	1737	232
882	1739	230
883	1741	228
884	1743	226
885	1746	224
886	1748	222
887	1750	220
888	1752	218
889	1754	216
890	1755	214
891	1757	212
892	1760	210
893	1762	208
894	1764	207
895	1766	205
896	1768	203
897	1769	201
898	1771	199
899	1773	197
900	1776	195
901	1778	193
902	1779	191
903	1781	189
904	1783	187
905	1785	185
906	1786	183
907	1788	181
908	1791	179
909	1793	177
910	1795	175
911	1797	173
912	1798	171
913	1800	169
914	1802	167
915	1804	165
916	1807	163
917	1808	161
918	1810	159
919	1812	157
920	1814	155
921	1816	153
922	1817	151
923	1820	149
924	1822	147
925	1824	145
926	1826	143
927	1828	141
928	1830	139
929	1831	137
930	1833	135
931	1836	133
932	1838	132
933	1841	130
934	1843	128
935	1844	126
936	1846	124
937	1848	122
938	1850	120
